epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.94628,1.77624,6.67035,0.02721,0.00033,0.08333,0.00021,5e-05,2.66857,10.8555,0.0547,0.0001,0.0001,0.0001
2,7.19711,1.5311,6.94798,0.02279,0.00367,0.91667,0.1019,0.02898,1.9783,9.40377,0.04463,0.000217096,0.000217096,0.000217096
3,8.44438,1.14244,5.62484,0.0161,0.00389,0.97222,0.25741,0.08755,1.28392,8.34964,0.02481,0.000331024,0.000331024,0.000331024
4,9.83566,1.18294,5.41181,0.01595,0.004,1,0.44099,0.28787,0.88562,7.9431,0.01694,0.000441784,0.000441784,0.000441784
5,11.0376,1.10388,5.15921,0.01621,0.004,1,0.58963,0.39555,0.85194,7.80267,0.01599,0.000549376,0.000549376,0.000549376
6,12.2537,1.21912,4.64158,0.01713,0.004,1,0.55675,0.35705,1.11691,8.10218,0.02216,0.0006538,0.0006538,0.0006538
7,13.4684,1.16361,4.1833,0.01627,0.00389,0.97222,0.69798,0.42582,1.01924,7.84461,0.01885,0.000755056,0.000755056,0.000755056
8,14.8625,1.1608,3.70357,0.01574,0.93615,0.72222,0.87893,0.55704,1.02812,7.70769,0.01876,0.000853144,0.000853144,0.000853144
9,16.0214,1.18749,3.297,0.01541,1,0.63865,0.9299,0.66834,1.07655,7.19229,0.02029,0.000948064,0.000948064,0.000948064
10,17.1609,1.2524,3.30473,0.01734,0.96553,0.77778,0.95076,0.61355,1.27293,7.00189,0.02515,0.00103982,0.00103982,0.00103982
11,18.2822,1.27528,3.00288,0.01743,0.96579,0.78433,0.94695,0.63322,1.14365,6.67377,0.02116,0.0011284,0.0011284,0.0011284
12,19.3976,1.25822,2.85399,0.01724,1,0.65428,0.9533,0.61755,1.22109,6.58853,0.02368,0.00121382,0.00121382,0.00121382
13,20.6816,1.16883,2.69698,0.01576,0.94546,0.83333,0.9592,0.56815,1.45725,5.81702,0.02877,0.00129606,0.00129606,0.00129606
14,21.8249,1.21325,2.51343,0.01595,0.94274,0.77778,0.94449,0.60282,1.29282,4.71421,0.02481,0.00137514,0.00137514,0.00137514
15,22.941,1.2097,2.43297,0.01637,1,0.74972,0.93086,0.55756,1.44261,3.65469,0.02827,0.00145106,0.00145106,0.00145106
16,24.1126,1.17723,2.31252,0.01621,1,0.86998,0.95734,0.58978,1.38966,2.76817,0.02685,0.0015238,0.0015238,0.0015238
17,25.2116,1.18746,1.98464,0.01598,0.93761,0.86111,0.92887,0.57878,1.44551,2.30352,0.02919,0.0015776,0.0015776,0.0015776
18,26.5633,1.16806,1.94478,0.0156,0.87773,0.77778,0.93601,0.64882,1.24919,1.82763,0.024,0.0015512,0.0015512,0.0015512
19,27.7563,1.21348,1.80381,0.01586,0.86755,0.91667,0.95744,0.52308,1.59143,1.80611,0.03091,0.0015248,0.0015248,0.0015248
